ID,Title,Host_IP,Host_Name,Event_Time,Location
"=HYPERLINK(""https://app.squadcast.com/incident/69197e3f5df658e6a947175a"",""69197e3f5df658e6a947175a"")",Unavailable by ICMP ping,10.20.7.73,CHN_D6_U2_AP1,13:03:16,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e3d5df658e6a9471756"",""69197e3d5df658e6a9471756"")",Unavailable by ICMP ping,10.20.6.50,CHN_GF_Admin_AP,13:03:13,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e3a5df658e6a947174a"",""69197e3a5df658e6a947174a"")",Unavailable by ICMP ping,10.20.7.77,NewAP-103-AP,13:03:10,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e3ae6da351358805b0b"",""69197e3ae6da351358805b0b"")",Unavailable by ICMP ping,10.20.7.74,CHN_D6_U2_AP2,13:03:10,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e395df658e6a9471740"",""69197e395df658e6a9471740"")",Unavailable by ICMP ping,10.20.7.40,A2-AP-Unit-4-AP_Exit,13:03:08,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e38e6da351358805b05"",""69197e38e6da351358805b05"")",Unavailable by ICMP ping,10.20.6.102,CHN-NewAP-102-AP,13:03:08,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e385df658e6a9471733"",""69197e385df658e6a9471733"")",Unavailable by ICMP ping,10.20.7.78,CHN-NewAP-101- AP,13:03:07,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e375df658e6a947172d"",""69197e375df658e6a947172d"")",Unavailable by ICMP ping,10.20.7.126,CHN_D4-AP_Unit-3_Inside_AP2,13:03:07,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e365df658e6a9471725"",""69197e365df658e6a9471725"")",Unavailable by ICMP ping,10.20.7.108,CHN-Silvan-AP,13:03:06,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e355df658e6a947171e"",""69197e355df658e6a947171e"")",Unavailable by ICMP ping,10.20.6.56,CHN_GF_HR_TA_AP2,13:03:05,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e33e6da351358805af4"",""69197e33e6da351358805af4"")",Unavailable by ICMP ping,10.20.6.53,CHN_GF_HR_TA_AP,13:03:03,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e335df658e6a9471714"",""69197e335df658e6a9471714"")",Unavailable by ICMP ping,10.20.7.121,CHN_4Dwing-sudhacabin_AP,13:03:02,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e325df658e6a947170e"",""69197e325df658e6a947170e"")",Unavailable by ICMP ping,10.20.6.51,CHN_GF_Cafeteria_AP,13:03:02,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e32e6da351358805aee"",""69197e32e6da351358805aee"")",Unavailable by ICMP ping,10.20.7.110,CHN_NewAP-104_5thfloorUnit1_AP,13:03:01,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e31e6da351358805aec"",""69197e31e6da351358805aec"")",Unavailable by ICMP ping,10.20.6.54,CHN_GF_HR_Trainer_AP,13:03:01,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e2f5df658e6a9471708"",""69197e2f5df658e6a9471708"")",Unavailable by ICMP ping,10.20.7.105,CHN_D5-Unit3-Inside_AP,13:02:59,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e2fe6da351358805ad9"",""69197e2fe6da351358805ad9"")",Unavailable by ICMP ping,10.20.6.52,CHN_GF_HR_Payroll_AP,13:02:59,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e2e5df658e6a9471700"",""69197e2e5df658e6a9471700"")",Unavailable by ICMP ping,10.20.7.101,CHN_D5-Apphelp_Bay_AP,13:02:58,chn
"=HYPERLINK(""https://app.squadcast.com/incident/69197e2be6da351358805ad0"",""69197e2be6da351358805ad0"")",Unavailable by ICMP ping,10.20.7.127,CHN_D4_Unit-3_outside_AP,13:02:56,chn
