ID,Title,Host_IP,Host_Name,Event_Time
"=HYPERLINK(""https://app.squadcast.com/incident/6917f890e6da3513587c043d"",""6917f890e6da3513587c043d"")",chn_queuemetrics_LinuxServer is down!,10.20.44.6,chn_queuemetrics_LinuxServer,09:20:36
"=HYPERLINK(""https://app.squadcast.com/incident/6917f890e6da3513587c043b"",""6917f890e6da3513587c043b"")",Linux: Unavailable by ICMP ping,10.20.44.6,chn_queuemetrics_LinuxServer,09:20:36
"=HYPERLINK(""https://app.squadcast.com/incident/6917f88ee6da3513587c0438"",""6917f88ee6da3513587c0438"")",Unavailable by ICMP ping,10.35.248.51,CHN_AD_Secondary_Windows-server,09:20:35
"=HYPERLINK(""https://app.squadcast.com/incident/6917f8865df658e6a942b8eb"",""6917f8865df658e6a942b8eb"")",Unavailable by ICMP ping,10.35.240.48,CHN_Zero_Trust_3_VM_Server,09:20:26
"=HYPERLINK(""https://app.squadcast.com/incident/6917efcc5df658e6a9429d6f"",""6917efcc5df658e6a9429d6f"")",Unavailable by ICMP ping,10.35.240.47,CHN_Zero_Trust_2_VM_Server,08:43:13
"=HYPERLINK(""https://app.squadcast.com/incident/6917ef725df658e6a9429cc1"",""6917ef725df658e6a9429cc1"")",Unavailable by ICMP ping,10.20.254.61,CHN-Matrix-AccessCard_VM_Server,08:41:42
"=HYPERLINK(""https://app.squadcast.com/incident/6917ee7a5df658e6a942978e"",""6917ee7a5df658e6a942978e"")",Zabbix agent is not available (for 3m),10.20.250.110,veeambkp-repo,08:37:37
"=HYPERLINK(""https://app.squadcast.com/incident/6917ee5c5df658e6a9429756"",""6917ee5c5df658e6a9429756"")",Unavailable by ICMP ping,10.20.250.100,Veeam-Backup_Windows_Server,08:37:05
"=HYPERLINK(""https://app.squadcast.com/incident/6916d25a5df658e6a93eb4cb"",""6916d25a5df658e6a93eb4cb"")",Zabbix agent is not available (for 3m),10.35.248.13,pexntp,12:25:22
"=HYPERLINK(""https://app.squadcast.com/incident/6916cdabe6da35135877fa54"",""6916cdabe6da35135877fa54"")",Zabbix agent is not available (for 3m),10.35.248.13,pexntp,12:05:22
"=HYPERLINK(""https://app.squadcast.com/incident/69168f53e6da35135877282b"",""69168f53e6da35135877282b"")",Zabbix agent is not available (for 3m),10.35.248.13,pexntp,07:39:22
"=HYPERLINK(""https://app.squadcast.com/incident/69166427e6da351358768b49"",""69166427e6da351358768b49"")",ICMP Ping: Unavailable by ICMP ping,10.24.160.17,INDORE ODC 3_Access Reader,04:35:05
"=HYPERLINK(""https://app.squadcast.com/incident/69166307e6da3513587688c9"",""69166307e6da3513587688c9"")",Zabbix agent is not available (for 3m),10.35.248.13,pexntp,04:30:22
"=HYPERLINK(""https://app.squadcast.com/incident/69153887e6da351358732a96"",""69153887e6da351358732a96"")",Unavailable by ICMP ping,10.10.246.43,HE-iOPEX-US-networkanalyzer-VM_Server,07:16:44
"=HYPERLINK(""https://app.squadcast.com/incident/691537dc5df658e6a939d350"",""691537dc5df658e6a939d350"")",Interface ethernet_32771(Local Area Connection* 8): Link down,10.10.246.43,HE-iOPEX-US-networkanalyzer-VM_Server,07:13:56
"=HYPERLINK(""https://app.squadcast.com/incident/6913b680262001b1b9890c5c"",""6913b680262001b1b9890c5c"")",Unavailable by ICMP ping,10.30.6.9,mnl-fwanalyzer_Windows-server,06:19:40
"=HYPERLINK(""https://app.squadcast.com/incident/69133f1c262001b1b987d61d"",""69133f1c262001b1b987d61d"")",Unavailable by ICMP ping,10.30.4.33,MNL_Analog_DVR_Camera,21:50:17
